,timestamp_from_machine,SER,TS,TS_R,PRES,HR,HR_DM,RR,RR_DM,ACT,ACT_DM,FW,END
149,1544882931.6548526,002020,1544882930,667,0,0,0,0.0,0,0,0,t120,1
150,1544882932.6997643,002020,1544882931,668,0,0,0,0.0,0,0,0,t120,1
151,1544882933.7297256,002020,1544882932,669,0,0,0,0.0,0,0,0,t120,1
152,1544882934.7918415,002020,1544882933,670,0,0,0,0.0,0,0,0,t120,1
153,1544882935.8295994,002020,1544882934,671,0,0,0,0.0,0,0,0,t120,1
154,1544882936.8704135,002020,1544882936,673,0,0,0,0.0,0,0,0,t120,1
155,1544882937.9079888,002020,1544882937,674,0,0,0,0.0,0,0,0,t120,1
156,1544882938.9469798,002020,1544882938,675,0,0,0,0.0,0,0,0,t120,1
157,1544882940.773265,002020,1544882939,676,0,0,0,0.0,0,0,0,t120,1
158,1544882941.8115132,002020,1544882940,677,0,0,0,0.0,0,0,0,t120,1
159,1544882942.8567767,002020,1544882941,678,0,0,0,0.0,0,0,0,t120,1
160,1544882943.8946211,002020,1544882943,680,0,0,0,0.0,0,0,0,t120,1
161,1544882944.9349823,002020,1544882944,681,0,0,0,0.0,0,0,0,t120,1
162,1544882945.9748776,002020,1544882945,682,0,0,0,0.0,0,0,0,t120,1
163,1544882947.0132082,002020,1544882946,683,0,0,0,0.0,0,0,0,t120,1
164,1544882948.0552197,002020,1544882947,684,0,0,0,0.0,0,0,0,t120,1
165,1544882949.0967975,002020,1544882948,685,0,0,0,0.0,0,0,0,t120,1
166,1544882950.1346996,002020,1544882949,686,0,0,0,0.0,0,0,0,t120,1
167,1544882951.1759133,002020,1544882950,687,0,0,0,0.0,0,0,0,t120,1
168,1544882952.2228758,002020,1544882951,688,0,0,0,0.0,0,0,0,t120,1
169,1544882953.2604198,002020,1544882952,689,0,0,0,0.0,0,0,0,t120,1
170,1544882954.3009615,002020,1544882953,690,0,0,0,0.0,0,0,0,t120,1
171,1544882955.3461988,002020,1544882954,691,0,0,0,0.0,0,0,0,t120,1
172,1544882956.3947935,002020,1544882955,692,0,0,0,0.0,0,0,0,t120,1
173,1544882957.4352922,002020,1544882956,693,0,0,0,0.0,0,0,0,t120,1
174,1544882958.4753761,002020,1544882957,694,0,0,0,0.0,0,0,0,t120,1
175,1544882959.5183825,002020,1544882958,695,0,0,0,0.0,0,0,0,t120,1
176,1544882960.5736923,002020,1544882959,696,0,0,0,0.0,0,0,0,t120,1
177,1544882961.6136134,002020,1544882960,697,0,0,0,0.0,0,0,0,t120,1
178,1544882962.6510217,002020,1544882961,698,0,0,0,0.0,0,0,0,t120,1
179,1544882963.695323,002020,1544882962,699,0,0,0,0.0,0,0,0,t120,1
180,1544882964.7372336,002020,1544882963,700,0,0,0,0.0,0,0,0,t120,1
181,1544882965.7802708,002020,1544882964,701,0,0,0,0.0,0,0,0,t120,1
182,1544882966.8228009,002020,1544882965,702,0,0,0,0.0,0,0,0,t120,1
183,1544882967.8716812,002020,1544882967,704,0,0,0,0.0,0,0,0,t120,1
184,1544882968.916098,002020,1544882968,705,0,0,0,0.0,0,0,0,t120,1
185,1544882969.9619489,002020,1544882969,706,0,0,0,0.0,0,0,0,t120,1
186,1544882971.009068,002020,1544882970,707,0,0,0,0.0,0,0,0,t120,1
187,1544882972.052613,002020,1544882971,708,0,0,0,0.0,0,0,0,t120,1
188,1544882973.0976717,002020,1544882972,709,0,0,0,0.0,0,0,0,t120,1
189,1544882974.149287,002020,1544882973,710,0,0,0,0.0,0,0,0,t120,1
190,1544882975.1961253,002020,1544882974,711,0,0,0,0.0,0,0,0,t120,1
